Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
1913,7,19,0,0,0.0,64.0,8.0,5.15,0.37,183,EPRI
1913,8,4,0,0,0.0,61.3,5.2,4.95,0.37,179,EPRI
1913,10,9,0,0,0.0,3.8,12.3,4.9,0.32,84,EPRI
1913,10,27,0,0,0.0,41.67,-8.72,4.7,0.32,199,EPRI
1913,12,18,0,0,0.0,-20.0,147.0,5.12,0.37,27,EPRI
1914,2,10,0,0,0.0,46.0,-75.0,5.1,0.48,226,EPRI
1914,4,13,0,0,0.0,53.8,81.5,5.06,0.37,156,EPRI
1914,5,18,0,0,0.0,31.35,15.25,5.35,0.37,90,EPRI
1914,5,24,15,56,24.0,-10.0,15.0,6.125,0.151,72,Merged
1914,6,7,0,0,0.0,73.0,119.0,5.37,0.37,146,EPRI
1914,8,17,0,0,0.0,57.0,59.4,5.24,0.44,159,EPRI
1914,9,25,0,0,0.0,39.0,-8.82,4.91,0.32,199,EPRI
1915,4,23,15,29,18.0,-8.0,-68.0,7.15,0.23,51,ISC
1915,6,2,0,0,0.0,48.9,11.4,4.68,0.32,192,EPRI
1915,10,10,0,0,0.0,48.8,11.6,4.84,0.32,192,EPRI
1916,2,21,0,0,0.0,35.5,-82.5,5.13,0.32,223,EPRI
1916,10,18,0,0,0.0,33.5,-86.2,4.98,0.32,224,EPRI
1916,12,3,0,0,0.0,43.7,-7.5,5.25,0.5,198,EPRI
1917,1,21,0,0,0.0,-3.0,10.0,5.63,0.37,76,EPRI
1917,4,9,0,0,0.0,38.1,-90.2,4.86,0.32,229,EPRI
1917,4,17,0,0,0.0,18.0,84.0,4.66,0.45,117,EPRI
1917,7,30,0,0,0.0,28.0,104.0,6.5,0.25,131,EPRI
1918,2,13,0,0,0.0,23.54,117.243,7.42,0.19,125,EPRI
1918,6,6,0,0,0.0,-23.5,152.5,5.8,0.25,32,EPRI
1919,4,21,0,0,0.0,22.0,72.0,5.25,0.5,113,EPRI
1919,5,23,6,10,48.0,29.884,71.363,6.5,0.19,113,ISC
1919,6,1,0,0,0.0,-18.0,-56.0,4.75,0.44,49,EPRI
1919,6,1,0,0,0.0,27.074,123.315,7.5,0.25,127,EPRI
1919,10,31,0,0,0.0,-27.0,31.5,6.5,0.47,64,EPRI
1919,10,31,0,0,0.0,24.0,116.5,5.33,0.45,125,EPRI
1920,2,8,0,0,0.0,-35.0,111.0,6.15,0.25,6,EPRI
1920,5,29,0,0,0.0,25.1,120.5,5.13,0.47,127,EPRI
1920,11,26,0,0,0.0,42.4,-8.6,4.97,0.37,199,EPRI
1921,5,30,0,0,0.0,-35.0,145.0,4.95,0.37,27,EPRI
1921,9,16,0,0,0.0,3.8,16.3,4.84,0.32,84,EPRI
1921,12,1,0,0,0.0,33.7,122.0,6.4,0.37,132,EPRI
1922,1,19,21,59,4.0,-7.629,141.173,6.68,0.2,13,ISC
1922,1,19,0,0,0.0,-7.0,143.0,7.29,0.37,16,EPRI
1922,1,27,0,0,0.0,-22.17,-47.04,4.78,0.32,49,EPRI
1922,4,7,0,0,0.0,23.5,119.0,5.71,0.37,127,EPRI
1922,4,10,0,0,0.0,-39.14,144.85,5.11,0.37,26,EPRI
1922,4,13,0,0,0.0,60.0,-110.0,5.11,0.37,239,EPRI
1922,5,20,0,0,0.0,24.7,116.5,4.79,0.44,125,EPRI
1922,7,26,0,0,0.0,70.0,-70.0,5.12,0.37,248,EPRI
1922,8,14,0,0,0.0,52.069,130.539,6.72,0.52,139,EPRI
1923,10,1,8,16,28.0,29.012,70.033,6.34,0.18,113,ISC
1923,10,15,0,0,0.0,48.5,122.5,4.98,0.5,135,EPRI
1923,12,8,0,0,0.0,32.0,127.5,5.71,0.37,127,EPRI
1924,3,1,0,0,0.0,-41.6,145.0,4.52,0.32,26,EPRI
1924,5,27,0,0,0.0,62.0,135.5,5.34,0.37,147,EPRI
1924,7,25,0,0,0.0,72.5,16.0,5.09,0.37,183,EPRI
1924,9,30,0,0,0.0,47.6,-69.7,4.69,0.16,222,EPRI
1924,10,17,0,0,0.0,60.0,-118.0,5.08,0.37,241,EPRI
1925,2,1,0,0,0.0,49.16,-5.22,5.04,0.32,197,EPRI
1925,2,7,0,0,0.0,48.0,105.0,5.3,0.37,136,EPRI
1925,2,18,0,0,0.0,69.0,145.0,4.97,0.37,141,EPRI
1925,3,1,0,0,0.0,47.76,-69.84,6.18,0.29,227,EPRI
1925,4,27,0,0,0.0,38.3,-87.6,4.87,0.32,229,EPRI
1925,7,30,0,0,0.0,35.4,-101.3,5.24,0.32,231,EPRI
1925,9,24,0,0,0.0,25.51,55.38,5.88,0.37,81,EPRI
1925,11,6,0,0,0.0,26.5,81.5,4.52,0.45,112,EPRI
1925,12,18,0,0,0.0,-33.0,151.6,4.56,0.32,27,EPRI
1926,2,28,0,0,0.0,38.58,-7.9,5.28,0.32,200,EPRI
1926,3,7,20,33,38.0,-5.0,-76.5,6.5,0.19,51,ISC
1926,3,10,0,0,0.0,66.5,-130.0,4.55,0.45,241,EPRI
1926,6,13,0,0,0.0,20.0,116.5,4.78,0.45,127,EPRI
1926,6,29,0,0,0.0,27.0,121.0,5.06,0.44,127,EPRI
1926,7,30,0,0,0.0,49.22,-1.82,4.98,0.32,196,EPRI
1926,8,18,0,0,0.0,65.8,28.5,4.76,0.44,173,EPRI
1926,9,19,0,0,0.0,57.3,67.0,5.3,0.44,158,EPRI
1926,9,29,0,0,0.0,48.0,122.7,4.98,0.5,135,EPRI
1926,12,14,0,0,0.0,-12.0,121.0,6.26,0.25,1,EPRI
1926,12,31,0,0,0.0,25.0,77.5,4.47,0.45,112,EPRI
1927,1,24,0,0,0.0,59.9,1.8,5.57,0.32,188,EPRI
1927,2,3,0,0,0.0,33.5,121.0,6.6,0.25,132,EPRI
1927,4,6,18,54,5.0,-10.0,-70.0,6.1,0.17,51,ISC
1927,5,7,0,0,0.0,35.7,-90.6,4.84,0.32,228,EPRI
1927,6,2,0,0,0.0,23.5,81.0,6.4,0.25,119,EPRI
1928,4,5,0,0,0.0,9.8,-13.3,4.51,0.32,105,EPRI
1928,9,1,6,9,3.0,29.014,70.583,6.42,0.19,113,ISC
1928,11,23,4,23,30.0,47.5,30.0,5.82,0.15,164,ISC
1929,2,8,0,0,0.0,24.9,119.9,4.47,0.45,127,EPRI
1929,4,11,0,0,0.0,25.0,77.5,5.39,0.5,112,EPRI
1929,7,26,17,18,50.0,-2.5,24.5,5.66,0.2,73,Merged
